,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords$lat,coords$lon
279,0,0,417,558,-1.028617978,0.644827485,13,0,1,0.001502982,15.56999969,3.21600008,0.086999997,44.85727634,-62.45644645
280,0,0,290,289,-3.442226887,2.614219904,11,0,1,0.03408955,12.79399967,2.075000048,0.052999999,44.85627361,-62.44449569
281,0,0,492,632,-1.18330574,0.277266085,9,2,1,0.002978325,14.9119997,1.86500001,0.026000001,44.8548386,-62.54771895
282,0,0,352,450,-1.884638906,1.098790526,9,0,2,0.002573867,14.92500019,2.072000027,0.024,44.85451121,-62.54462082
283,0,0,434,652,-0.71564585,0.95871532,13,0,2,0.002224213,14.75800037,2.786000013,0.082999997,44.85383166,-62.46090837
284,0,0,221,180,-4.03240633,2.225597382,13,2,2,0.124005765,11.83500004,1.070000052,0.063000001,44.85216053,-62.44099173
285,0,0,137,174,-8.262196541,0.410661668,8,-1,1,0.113746867,11.4630003,0.927999973,0.064999998,44.84995293,-62.44057016
286,0,0,69,91,-6.860845566,4.609451294,8,0,3,0.226419434,11.35000038,0.623000026,0.067000002,44.84969917,-62.39096562
287,0,0,519,722,-0.649036944,0.246817186,10,3,1,0.002844145,14.16399956,1.70599997,0.028999999,44.84978699,-62.54510097
288,0,0,450,449,0.46951738,0.59522146,12,3,1,0.000874332,13.96399975,1.791000009,0.024,44.84599026,-62.54114483
289,0,0,242,190,-3.434704781,3.639762163,10,5,1,0.001630747,11.97799969,0.852999985,0.046,44.84183108,-62.52567777
291,0,0,61,92,-4.276100159,6.643687248,14,3,0,0.364954263,11.29300022,1.031999946,0.093000002,44.83882422,-62.42030739
292,0,0,416,573,-0.591071367,0.906699717,11,2,1,0.00083864,16.2140007,2.299999952,0.029999999,44.83867315,-62.60674252
293,0,0,182,178,-8.870977402,0.687960684,2,-2,1,0.059907168,12.07999992,1.223999977,0.039000001,44.83271848,-62.6160816
294,0,0,208,195,-3.684324026,1.32438457,17,6,3,0.16241692,11.35000038,1.034000039,0.059,44.83172667,-62.45048772
295,0,0,135,115,-7.991729736,3.41445446,3,0,1,0.071405888,12.33399963,1.177999973,0.034000002,44.83178069,-62.61830174
296,0,0,NA,NA,-4.271999836,NA,17,10,0,0.184835136,11.29300022,0.70599997,0.037999999,44.82162975,-62.51698934
298,0,0,54,73,-6.510389805,2.325051069,13,11,3,0.520447969,10.46500015,0.637000024,0.064000003,44.81150604,-62.50733605
301,0,0,429,489,-1.465496659,0.664407969,13,0,1,0.001455621,14.13500023,1.167999983,0.057999998,44.80697161,-62.64369317
302,0,0,151,145,-4.494336605,2.100661516,15,0,3,0.155802146,12.78899956,1.144000053,0.104999997,44.80473768,-62.54678288
303,0,0,316,405,-1.482484221,1.739255786,12,0,1,0.001631753,13.84300041,0.964999974,0.118000001,44.8044455,-62.64193842
304,0,0,437,448,-1.818633556,0.703689575,13,1,1,0.001102364,13.79399967,1.116999984,0.064000003,44.80226333,-62.64947538
305,0,0,183,210,-3.320626497,0.6913082,15,0,2,0.186621711,12.58899975,1.235000014,0.052999999,44.8015975,-62.54946277
306,0,0,59,81,-7.075592518,2.327304602,14,4,2,0.368462473,11.56499958,1.407999992,0.041999999,44.79723813,-62.56277224
307,0,0,414,246,-4.34060955,1.587551951,12,1,3,0.030982999,13.99499989,1.366000056,0.07,44.79448108,-62.68182479
310,0,0,185,158,-2.349218369,8.074457169,19,16,0,0.264363945,10.06900024,1.335999966,0.050999999,44.78138106,-62.62217315
311,0,0,147,120,-9.545036316,3.224961042,7,1,3,0.034839816,10.64799976,1.40199995,0.039999999,44.78037131,-62.70756087
312,0,0,136,176,-6.734967232,0.449533761,11,-1,1,0.1223066,11.19299984,0.967999995,0.083999999,44.77775461,-62.67218453
314,0,0,185,154,-5.057378292,2.741820812,8,3,3,0.017612245,10.57600021,0.883000016,0.055,44.77636245,-62.74385453
316,0,0,532,342,-2.50545001,2.047018766,12,3,2,0.002865719,13.07499981,1.309999943,0.155000001,44.77324067,-62.75713837
319,0,0,284,254,-4.922655582,0.057970699,-1,0,1,0.003901636,16.88699913,0.709999979,0.034000002,44.76971362,-63.03138414
320,0,0,136,118,-5.169875145,5.445517063,11,9,0,0.12567766,10.41499996,0.851999998,0.063000001,44.76811763,-62.72133388
321,0,0,122,152,-4.631537914,2.4697752,10,7,2,0.10593012,10.40100002,0.847000003,0.043000001,44.76622933,-62.72222752
322,0,0,251,184,-10.72476196,0.067696504,1,0,1,0.011468626,11.16100025,0.972000003,0.079999998,44.76543906,-62.79564903
323,0,0,322,201,-4.167825699,1.268294215,0,0,1,0.004321363,16.54700089,0.694999993,0.059999999,44.76404319,-63.02740069
325,0,0,152,201,-4.663897038,1.212717295,6,0,1,0.005208494,11.82499981,1.085000038,0.071000002,44.75754345,-62.78550591
326,0,0,508,221,-5.249647141,3.223941565,13,3,1,0.003694355,12.93400002,1.039000034,0.054000001,44.75680953,-62.73598115
327,0,0,369,148,-4.611719131,4.367881298,13,0,1,0.00230111,13.43000031,1.215000033,0.027000001,44.75616385,-62.72935102
328,0,0,497,269,-3.056835413,2.792854071,13,3,2,0.002562886,12.72799969,1.425999999,0.089000002,44.75409225,-62.79347807
332,0,0,404,495,-1.862555623,0.851291895,4,1,1,0.005074814,14.64700031,2.684999943,0.125,44.74419194,-63.03181245
334,0,0,70,132,-3.249593258,2.133253098,14,9,3,0.299685657,10.44099998,0.966000021,0.071999997,44.74164898,-62.72057687
335,0,0,475,600,-0.400000006,0.415081292,5,1,1,0.00069924,20.88699913,3.194999933,0.270999998,44.73972007,-63.12199417
338,0,0,477,622,-0.787989557,0.181516841,5,0,0,0.000606376,20.75200081,3.845999956,0.365999997,44.73783285,-63.11889575
340,0,0,372,540,-1.547171712,0.804677546,6,0,1,0.002442983,15.96899986,1.830000043,0.122000001,44.73473973,-63.03092318
343,0,0,178,203,-8.215680122,0.178245768,7,0,1,0.101440996,10.54300022,0.92900002,0.059,44.73238526,-62.81300437
344,0,0,NA,NA,-1.861958027,0.740296245,18,6,1,NA,12.4460001,1.171000004,0.048,44.73200508,-62.77675991
345,0,0,521,575,-0.899874568,1.387684822,10,3,1,0.002796441,15.50899982,3.223999977,0.30399999,44.73064612,-63.01987074
348,0,0,629,700,-0.699999988,0.460001022,7,1,1,0.002498039,19.30900002,5.951000214,0.256999999,44.72902441,-63.10473377
353,0,0,410,461,-1.731209874,0.837304711,15,4,3,0.001297513,11.9090004,1.128000021,0.035,44.72609079,-62.81744441
354,0,0,473,530,-1.19783783,0.939942062,12,3,1,0.002072274,14.62300014,4.632999897,0.458000004,44.72592089,-63.01279754
