,X,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon,biomass,cover.prop,cover.prop.br
108,624,1,37.5,677,652,-0.247774124,0.685301483,5,1,1,0.002443607,19.63800049,2.73300004,0.052999999,44.15572935,-64.60019193,67.49903675,0.375,0.375
109,632,1,37.5,617,665,-0.816000402,0.104116119,3,0,1,0.001610173,20.09799957,2.792000055,0.052999999,44.15177719,-64.61233964,67.49903675,0.375,0.375
110,633,1,37.5,509,520,-1.843546271,0.733552814,16,0,2,0.002254065,17.35899925,3.611000061,0.048999999,44.15259367,-64.53008028,67.49903675,0.375,0.375
111,635,1,37.5,589,616,-1.343427062,0.065895163,3,0,1,0.002180065,19.28800011,2.737999916,0.064999998,44.1511904,-64.60926006,67.49903675,0.375,0.375
112,637,1,37.5,600,489,-2.726893902,0.692534566,15,0,1,0.003610519,16.56800079,3.171000004,0.057,44.15098934,-64.5322271,67.49903675,0.375,0.375
113,674,1,37.5,771,765,-0.5198825,0.027163068,5,0,1,0.0262265,22.62599945,3.15899992,0.093000002,43.87467362,-64.90630036,67.49903675,0.375,0.375
114,677,1,37.5,711,701,-0.957378745,0.374512702,5,0,1,0.004553879,22.43300056,2.948999882,0.115999997,43.87184629,-64.9057746,67.49903675,0.375,0.375
115,400,1,39.2857132,738,714,0,0.461913854,21,2,2,0.057493493,13.18999958,1.633999944,0.209000006,44.70848063,-62.84047552,71.56227058,0.392857132,0.392857132
116,362,1,40,559,342,-0.899999976,4.233795166,7,0,1,0.002962966,18.49799919,6.868999958,0.555000007,44.72146484,-63.10206849,73.237723,0.4,0.4
117,380,1,40,768,763,-0.550000012,0.145355597,8,0,1,0.045583867,20.12599945,3.355000019,0.181999996,44.71412952,-63.17496653,73.237723,0.4,0.4
118,417,1,40,728,721,-0.671458244,0.285792202,13,1,0,0.00228341,14.40999985,4.651000023,0.252000004,44.70320007,-63.09010776,73.237723,0.4,0.4
119,431,1,40,706,715,-0.699999988,0.25624454,14,2,1,0.147272274,15.51299953,4.566999912,0.298999995,44.69974354,-63.07729092,73.237723,0.4,0.4
120,460,1,40,535,646,-0.600000024,0.192476824,12,2,1,0.000644087,18.37100029,3.927000046,0.032000002,44.6867496,-63.1523586,73.237723,0.4,0.4
121,600,1,42,445,293,-3.276440144,4.195204258,16,4,1,0.037895072,12.20899963,1.623000026,0.144999996,44.24017488,-64.33028416,78.081455,0.42,0.42
122,613,1,42,583,467,-3.535507441,0.332426697,15,1,1,0.005209004,12.76200008,1.756999969,0.026000001,44.21400731,-64.38446037,78.081455,0.42,0.42
123,436,1,43,746,728,-0.800000012,0.158848181,13,1,1,0.12294741,13.60099983,4.434000015,0.27700001,44.69784365,-63.09009945,80.587582,0.43,0.43
124,336,1,44.20000076,522,417,-2.05023241,1.543639183,15,4,1,0.00190102,12.19900036,1.782999992,0.072999999,44.73927869,-62.79087836,83.66908606,0.442000008,0.442000008
125,415,1,45,755,766,-0.537418962,0.372726858,21,2,1,0.032378808,12.57400036,1.5,0.266000003,44.70406886,-62.84004583,85.768358,0.45,0.45
126,558,1,49.16666794,404,258,-1.633333325,5.025808334,12,2,1,0.001230144,14.92800045,2.381999969,0.193000004,44.3901225,-64.278747,97.28332486,0.491666679,0.491666679
127,191,1,50,646,528,0,1.536786318,10,1,1,0.016126128,19.31500053,6.335000038,0.186000004,45.07115471,-61.91775824,99.703343,0.5,0.5
128,341,1,50,703,658,-0.100000001,0.369670063,6,1,1,0.002235092,20.00499916,5.585999966,0.370999992,44.73311506,-63.11048753,99.703343,0.5,0.5
129,364,1,50,728,723,-0.899999976,0.084747225,9,0,1,0.002819705,18.10000038,6.961999893,0.99000001,44.720208,-63.09808891,99.703343,0.5,0.5
130,397,1,50,784,759,-0.899999976,0.072279461,12,1,1,0.036455847,15.1420002,5.599999905,0.174999997,44.70887363,-63.0874655,99.703343,0.5,0.5
131,516,1,50,472,377,-1.352477074,2.155201197,41,9,2,0.031483702,11.32900047,1.343000054,0.064999998,44.45099207,-63.73680526,99.703343,0.5,0.5
132,346,1,51.25,704,718,-0.653213143,0.317102969,11,3,1,0.003276075,14.35599995,4.285999775,0.340999991,44.73064668,-63.01633466,103.4065189,0.5125,0.5125
133,468,1,53,668,575,-2.5,0,5,0,1,0.00368739,14.70499992,0.912,0.041000001,44.66960478,-63.443734,108.738422,0.53,0.53
134,527,1,54.16666794,396,341,-2.509766579,3.235968828,14,12,2,0.035950303,10.82299995,0.800000012,0.037999999,44.4118122,-64.25504163,112.3886019,0.541666679,0.541666679
135,388,1,56.875,721,731,-0.499925792,0.412493318,20,2,1,0.110486463,13.91800022,2.266000032,0.090999998,44.71035317,-62.82809842,121.1569876,0.56875,0.56875
136,551,1,58,472,503,-1.295336843,2.452973604,14,5,3,0.025030259,13.375,1.215000033,0.114,44.39552711,-64.2459039,124.920367,0.58,0.58
137,342,1,58.33333206,669,701,-0.640856862,0.485356539,10,3,1,0.004151557,14.40999985,4.144000053,0.340000004,44.73253691,-63.01810329,126.0490915,0.583333321,0.583333321
138,384,1,60,754,726,-0.899999976,0.296653837,11,1,1,0.014642621,16.12299919,6.897999763,0.239999995,44.71234597,-63.07863331,131.786363,0.6,0.6
139,445,1,60,596,617,-0.800000012,1.45164752,13,0,1,0.101223968,13.34399986,4.222000122,0.204999998,44.69531941,-63.09451295,131.786363,0.6,0.6
140,409,1,62.5,593,518,-2.492791176,1.06735003,19,0,1,0.058871716,13.10700035,1.572000027,0.254999995,44.70627443,-62.84003976,140.6848368,0.625,0.625
