,X.1,X,PA,cover,suitability8,suitability9,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon,biomass,cover.prop
49,354,354,1,10,769,737,0.266157269,0.159084916,7,0,1,0.003098107,19.26600075,6.625,0.328999996,44.72555521,-63.10826329,27.545263,0.1
50,360,360,1,10,717,736,0.555324793,0.071310014,8,1,1,0.00195767,18.88400078,5.03000021,0.224999994,44.72113891,-63.1135583,27.545263,0.1
51,423,423,1,10,774,717,0.246209279,0.583810747,10,1,1,0.025393711,16.01600075,5.875,0.264999986,44.70089129,-63.17801914,27.545263,0.1
52,357,357,1,10.83333302,614,609,0.616007388,3.282284737,14,5,1,0.002551424,14.06900024,4.517000198,0.433999985,44.72340083,-63.00528375,28.13182763,0.10833333
53,643,643,1,11.25,413,509,1,0.220479697,5,1,1,0.000646653,19.27000046,2.854000092,0.028999999,44.14709553,-64.60914877,28.43973894,0.1125
54,687,687,1,12,640,575,-1.083074212,0.738410592,11,0,1,0.045420833,19.65299988,3.253000021,0.107000001,43.85984492,-64.8692443,29.018555,0.12
55,690,690,1,12,714,578,-2.267517567,0.114019476,11,0,1,0.096686825,17.12400055,3.812999964,0.136999995,43.85280875,-64.87555642,29.018555,0.12
56,398,398,1,12.1875,761,703,0.456094772,0.458105206,20,1,1,0.136041984,13.22299957,1.644999981,0.165000007,44.70816119,-62.83738353,29.16819618,0.121875
57,705,705,1,13,384,279,-3.976621151,0.149448842,13,0,1,0.158617318,14.0010004,3.391000032,0.126000002,43.83898609,-64.8729464,29.839462,0.13
58,345,345,1,13.33333302,660,594,0.733952105,0.561412156,12,4,1,0.003144153,14.42099953,4.400000095,0.400999993,44.72938659,-63.01456631,30.12558051,0.13333333
59,691,691,1,14,700,582,-2.683472157,0.16537863,11,0,1,0.096947618,16.12999916,3.670000076,0.131999999,43.8509404,-64.87419149,30.716543,0.14
60,160,160,1,14.39999962,108,602,-1.029286623,1.263459325,17,0,1,0.011647955,15.20800018,0.569000006,0.077,45.10322135,-61.72763534,31.08310377,0.143999996
61,416,416,1,15,489,501,-2.470448256,0.743528843,18,0,2,0.122677192,12.57900047,1.532999992,0.219999999,44.70311542,-62.83430505,31.649798,0.15
62,466,466,1,15,723,668,-1.5,0,5,0,1,0.003644225,15.56200027,1.15199995,0.037999999,44.67022633,-63.44594649,31.649798,0.15
63,627,627,1,15,676,657,-0.504240572,0.118818395,5,0,1,0.002635875,19.17900085,2.520999908,0.085000001,44.15419114,-64.59752427,31.649798,0.15
64,634,634,1,15,590,564,-0.660115778,0.190671504,3,0,1,0.002025145,19.28800011,2.737999916,0.064999998,44.15057274,-64.60836796,31.649798,0.15
65,636,636,1,15,487,589,-0.135620654,0.218804121,17,1,1,0.001179206,17.52700043,3.596999884,0.074000001,44.15104794,-64.52785205,31.649798,0.15
66,673,673,1,15,800,747,0.312313467,0.127590939,5,0,1,0.003339108,22.44499969,3.006999969,0.112000003,43.87378682,-64.90278714,31.649798,0.15
67,679,679,1,15,819,761,0.353175282,0.092957191,6,0,1,0.027565803,21.6590004,3.332000017,0.193000004,43.86876203,-64.90175606,31.649798,0.15
68,680,680,1,15,791,741,0.132681325,0.04837545,7,0,1,0.004090678,21.35899925,3.421000004,0.230000004,43.86849776,-64.8986986,31.649798,0.15
69,706,706,1,15,562,553,-3.47273922,0.107331999,13,0,1,0.082839713,14.42500019,3.648999929,0.119999997,43.83799123,-64.87596277,31.649798,0.15
70,666,666,1,16,114,597,-1.023256898,0.726343513,19,4,1,0.045642924,12.82900047,1.672999978,0.114,43.90420199,-64.77518313,32.639227,0.16
71,779,779,1,17,388,317,-4.708884716,0.179343864,5,0,1,0.090560459,16.92700005,0.973999977,0.052999999,43.51357902,-65.44957942,33.68483,0.17
72,405,405,1,17.5,735,522,0.94963181,0.600190103,21,3,1,0.073536649,13.01500034,1.565000057,0.119999997,44.70689641,-62.83429426,34.22869675,0.175
73,349,349,1,18.33333397,513,513,-1.079774618,0.068060443,10,2,1,0.002149734,15.33100033,4.540999889,0.333000004,44.7271809,-63.01544972,35.16634984,0.18333334
74,245,245,1,18.70000076,674,586,-2.927253962,0.245977357,11,0,1,0.032699682,14.12699986,1.470000029,0.045000002,44.92309708,-62.28020676,35.59127532,0.187000008
75,214,214,1,20,800,706,-0.122761734,0.2290259,16,2,2,0.082269542,15.73900032,2.480000019,0.072999999,45.05008257,-61.88882115,37.158683,0.2
76,444,444,1,20,710,710,0.580983222,0.088435844,14,1,2,0.175623193,13.42199993,4.058000088,0.252000004,44.69469176,-63.09141977,37.158683,0.2
77,456,456,1,20,665,703,0.70507884,0.061970357,11,1,1,0.001413207,18.81299973,3.816999912,0.032000002,44.68864128,-63.15148018,37.158683,0.2
78,662,662,1,20,611,578,-1.132448912,1.17988503,19,9,1,0.006957731,10.78899956,1.169999957,0.048,43.91578151,-64.78032262,37.158683,0.2
79,776,776,1,21,91,527,-3.217567205,0.953883767,19,3,1,0.008454496,15.27900028,1.118999958,0.30399999,43.51792914,-65.36271472,38.428982,0.21
80,409,409,1,21.29999924,92,396,-0.771656156,2.080000162,19,2,2,0.122766942,12.48600006,1.506999969,0.160999998,44.70497962,-62.81706895,38.82102463,0.212999992
81,768,768,1,22,95,536,-2.349045277,0.962228358,17,2,1,0.069480687,15.96100044,1.639000058,0.079999998,43.54166143,-65.3580101,39.755455,0.22
82,390,390,1,22.08333397,546,479,0.626636147,0.858478487,20,2,1,0.167198986,13.78199959,2.380000114,0.129999995,44.71002022,-62.81661122,39.86853091,0.22083334
83,383,383,1,22.5,751,653,-0.191115752,0.754052281,18,1,1,0.054663777,14.09000015,2.697000027,0.046,44.71222222,-62.81439492,40.43975675,0.225
84,595,595,1,23,543,557,-1.461271882,0.832273006,11,3,1,0.032563861,12.94299984,2.198999882,0.172000006,44.26815569,-64.33573899,41.138102,0.23
85,443,443,1,25,696,711,0.384132534,0.374894083,13,0,1,0.002161477,16.89500046,4.610000134,0.081,44.69467238,-63.11306483,44.071918,0.25
86,551,551,1,25,491,520,-1.611794949,0.171754271,10,3,1,0.001813977,15.61499977,1.192999959,0.090999998,44.39468456,-64.29334891,44.071918,0.25
87,205,205,1,26.20000076,86,457,-2.331337452,0.935694575,15,5,2,0.076638885,13.18700027,0.962000012,0.143000007,45.06169941,-61.82191307,45.94006289,0.262000008
88,664,664,1,27,554,364,-2.963634491,2.542346478,13,4,1,0.037492592,11.11699963,0.760999978,0.07,43.91026949,-64.81023432,47.23043,0.27
89,404,404,1,27.08333397,734,741,1,0.461887956,21,2,1,0.030803645,12.86600018,1.488999963,0.115999997,44.7069113,-62.84489813,47.36691193,0.27083334
90,777,777,1,28,474,479,-3.902354479,0.210919812,5,0,1,0.07018166,17.33399963,1.281999946,0.055,43.51571809,-65.45269715,48.893947,0.28
91,296,296,1,28.39999962,768,642,-0.489498794,0.340244442,18,4,1,0.082161285,12.66899967,1.019000053,0.057,44.80853945,-62.55206436,49.57508187,0.283999996
92,336,336,1,30,681,709,0.471652746,0.201823547,6,0,1,0.002195019,20.4279995,5.198999882,0.458999991,44.73468831,-63.11270073,52.389503,0.3
93,429,429,1,30,723,714,1,0,12,0,1,0.001683414,11.91300011,1.578999996,0.071000002,44.69906214,-63.13295302,52.389503,0.3
94,434,434,1,30,688,620,0.307803959,0.210127547,14,2,1,0.231186911,15.07699966,4.593999863,0.214000002,44.69722463,-63.07463704,52.389503,0.3
95,454,454,1,30,730,667,0.50703156,0.690895975,11,2,2,0.122364834,14.09899998,4.249000072,0.194999993,44.68987877,-63.16782631,52.389503,0.3
96,195,195,1,31,505,591,0.876611173,1.2190938,9,1,1,0.001571637,20.24600029,5.836999893,0.129999995,45.06965941,-61.92623415,54.221542,0.31
97,726,726,1,31,176,644,-1.548285007,0.263996422,14,1,1,0.052039545,15.76000023,5.123000145,0.312000006,43.80876135,-64.92813496,54.221542,0.31
98,422,422,1,32,525,496,-3.002532244,1.107718825,18,0,2,0.078400552,12.47599983,1.575999975,0.208000004,44.70122428,-62.83386866,56.109755,0.32
