,X,PA,cover,suitability8,suitability9,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon
39,39,0,0,377,269,-2.525018454,3.707270384,9,7,1,0.001426897,NA,NA,NA,45.17454225,-61.71001237
40,40,0,0,163,95,-5.557695866,0.425469637,14,0,1,0.225342482,NA,NA,NA,45.17064222,-61.4473139
42,42,0,0,138,153,-6.671975136,1.088881731,6,0,1,0.003565167,NA,NA,NA,45.17161089,-61.64727598
43,43,0,0,NA,NA,-0.20491524,NA,11,10,1,NA,NA,NA,NA,45.17102206,-61.70519241
44,44,0,0,411,325,-3.158833265,1.25851202,10,2,0,0.002266716,NA,NA,NA,45.1696841,-61.64420384
45,45,0,0,526,270,-1.495062232,1.781139255,18,3,3,0.142188311,NA,NA,NA,45.16691128,-61.45097826
46,46,0,0,595,331,-2.385706902,6.425028801,11,4,3,0.081049107,NA,NA,NA,45.16914904,-61.65223354
48,48,0,0,391,344,-1.61912024,2.450774431,12,4,0,0.001714422,NA,NA,NA,45.16780485,-61.64513919
49,49,0,0,174,161,-7.822289944,4.67989254,5,-1,0,0.033608973,NA,NA,NA,45.16752155,-61.64781816
53,53,0,0,56,126,-1.566104174,0.579621315,18,5,3,0.393637449,NA,NA,NA,45.1630836,-61.44751927
54,54,0,0,379,371,0.011650412,1.8408252,13,5,0,0.000604419,NA,NA,NA,45.16524278,-61.64163706
55,55,0,0,143,130,-8.413916588,2.619372129,5,-1,0,0.072192758,NA,NA,NA,45.16500179,-61.64787779
57,57,0,0,47,72,-2.4794662,1.954670191,19,12,3,0.492923856,NA,NA,NA,45.16109947,-61.41773629
59,59,0,0,29,51,-7.005693913,4.155769348,14,7,3,0.533664048,NA,NA,NA,45.16085229,-61.4226417
61,61,0,0,30,53,-6.402163029,2.062922716,14,3,3,0.486519665,NA,NA,NA,45.16081839,-61.44312757
62,62,0,0,225,690,0.279315472,0.368283659,16,0,1,0.045036282,NA,NA,NA,45.16186493,-61.5464162
64,64,0,0,NA,NA,1,NA,16,0,1,0.000798068,NA,NA,NA,45.16185347,-61.57046444
66,66,0,0,152,137,-6.974011421,1.058337569,7,1,0,0.093136996,NA,NA,NA,45.16248729,-61.64838261
67,67,0,0,116,54,-7.448718071,1.549549937,12,0,3,0.486097366,NA,NA,NA,45.15960712,-61.44672308
68,68,0,0,667,356,-0.049762119,1.525505424,13,11,3,0.085065164,NA,NA,NA,45.16165266,-61.6577543
69,69,0,0,539,620,1,0,16,0,1,0.001233069,NA,NA,NA,45.16029538,-61.57183937
70,70,0,0,40,78,-5.078764915,0.400668085,12,2,3,0.337083787,NA,NA,NA,45.15936475,-61.49927661
71,71,0,0,46,206,-4.177699089,3.807273626,9,4,0,0.093435109,NA,NA,NA,45.16088079,-61.64574866
73,73,0,0,64,165,-0.531494915,0.975748777,19,5,3,0.382563084,NA,NA,NA,45.15846811,-61.45566016
75,75,0,0,NA,NA,1,NA,16,0,1,NA,NA,NA,NA,45.15874283,-61.5736594
79,79,0,0,29,56,-6.614225388,1.212652326,10,0,3,0.391411781,NA,NA,NA,45.15743992,-61.49665536
80,80,0,0,192,133,-6.363882542,2.590275288,7,6,3,0.05537327,NA,NA,NA,45.15929945,-61.67205956
82,82,0,0,549,619,1,0,16,0,1,0.001456249,NA,NA,NA,45.15815179,-61.57679127
87,87,0,0,49,171,-3.906875849,1.664240003,10,6,0,0.142474174,NA,NA,NA,45.15738441,-61.64315971
88,88,0,0,43,151,-4.593453407,1.177888274,9,3,0,0.131812438,NA,NA,NA,45.15698458,-61.63604449
90,90,0,0,NA,599,-0.586227834,0.391694993,15,0,1,0.045047455,NA,NA,NA,45.1555654,-61.57151227
91,91,0,0,45,109,-5.867895126,1.432958484,8,5,0,0.14133057,NA,NA,NA,45.15578839,-61.64141645
92,92,0,0,34,103,-4.785758495,2.70753336,9,2,0,0.156754956,NA,NA,NA,45.15565009,-61.62984236
93,93,0,0,45,124,-4.992197514,1.538548708,9,5,0,0.143018171,NA,NA,NA,45.1554363,-61.63830784
94,94,0,0,38,114,-9.390722275,1.067517757,5,-1,0,0.15729098,NA,NA,NA,45.1550575,-61.63297351
96,96,0,0,45,160,-4.686085224,2.151383638,10,2,0,0.098790139,NA,NA,NA,45.15467846,-61.62763926
97,97,0,0,40,100,-6.138538837,2.490187883,8,3,3,0.143749073,NA,NA,NA,45.15446483,-61.63610461
99,99,0,0,39,79,-4.208825111,1.022953153,15,6,3,0.557688653,NA,NA,NA,45.15125447,-61.45808128
101,101,0,0,28,53,-10.11097813,1.267670393,7,1,3,0.44781965,NA,NA,NA,45.15091366,-61.50350568
102,102,0,0,35,107,-6.521177769,1.517705917,8,2,2,0.132347643,NA,NA,NA,45.15215336,-61.62725462
103,103,0,0,58,109,-0.730002582,1.925153971,17,6,3,0.350519896,NA,NA,NA,45.15087096,-61.5244334
104,104,0,0,30,58,-7.985457897,1.147983313,9,3,3,0.403715461,NA,NA,NA,45.15053444,-61.49861792
105,105,0,0,27,51,-9.378828049,2.671179056,8,1,3,0.404647231,NA,NA,NA,45.15044057,-61.49149649
106,106,0,0,31,56,-6.081497192,1.122629762,12,4,1,0.45068571,NA,NA,NA,45.15001359,-61.48304819
107,107,0,0,44,173,-4.106300354,1.843462467,11,4,1,0.128974259,NA,NA,NA,45.15146983,-61.62281852
108,108,0,0,NA,250,-0.079488441,1.374882579,16,5,3,0.200998947,NA,NA,NA,45.15059826,-61.57742456
111,111,0,0,32,66,-5.060592175,1.782396913,12,3,3,0.296060413,NA,NA,NA,45.14930625,-61.54985216
112,112,0,0,42,97,-2.882019043,2.560423136,14,5,3,0.235153988,NA,NA,NA,45.14913767,-61.5614325
114,114,0,0,29,78,-6.516175747,1.380388737,9,5,3,0.187710986,NA,NA,NA,45.14936673,-61.63132864
115,115,0,0,29,53,-7.089007854,1.435539961,11,7,3,0.487085164,NA,NA,NA,45.14761191,-61.49201634
116,116,0,0,36,70,-4.560961246,1.240842581,14,8,3,0.560557246,NA,NA,NA,45.14726807,-61.46620272
117,117,0,0,36,67,-4.167957783,1.331532001,14,7,3,0.402156591,NA,NA,NA,45.14739495,-61.52363266
118,118,0,0,30,55,-5.959676743,2.134588957,12,6,3,0.381755233,NA,NA,NA,45.14716612,-61.53031684
119,119,0,0,314,194,-4.494038105,5.835820198,10,9,1,0.051368896,NA,NA,NA,45.14860067,-61.6731985
120,120,0,0,118,95,-8.406480789,0.576828361,9,1,1,0.173197716,NA,NA,NA,45.1472983,-61.56548574
121,121,0,0,28,65,-8.191906929,2.681927681,9,2,3,0.204185054,NA,NA,NA,45.14693856,-61.56193304
123,123,0,0,38,85,-3.275254011,3.327442169,13,7,3,0.254502714,NA,NA,NA,45.14596784,-61.5851083
124,124,0,0,29,76,-6.576887131,1.155905366,10,4,3,0.194448486,NA,NA,NA,45.1451812,-61.62386037
125,125,0,0,649,312,-0.337272644,2.670778751,16,14,3,0.08203207,NA,NA,NA,45.14253839,-61.66666142
130,130,0,0,42,129,-7.554881096,4.739241123,9,7,1,0.055053473,NA,NA,NA,45.13803494,-61.65875376
131,131,0,0,28,52,-9.226352692,1.78503418,10,1,2,0.401747912,NA,NA,NA,45.13666831,-61.54705663
132,132,0,0,31,64,-5.876816273,1.722112417,13,3,3,0.286448181,NA,NA,NA,45.1364381,-61.55373949
134,134,0,0,92,312,-1.931352735,3.238495111,15,12,3,0.053025778,NA,NA,NA,45.13613988,-61.65835306
135,135,0,0,123,59,-8.075935364,0.51917249,12,1,3,0.414341867,NA,NA,NA,45.13273532,-61.53513866
137,137,0,0,103,339,-0.97284162,2.740894794,17,14,3,0.053002667,NA,NA,NA,45.13167788,-61.65400672
138,138,0,0,NA,NA,1,0.759785533,1,0,1,NA,21.25,0.266000003,0.017999999,45.13488771,-61.99667528
140,140,0,0,538,208,0.790055811,1.399820805,20,8,3,0.260409623,NA,NA,NA,45.12824486,-61.60423957
141,141,0,0,NA,NA,0.551717222,NA,1,0,1,NA,21.25300026,0.328999996,0.032000002,45.13197406,-61.98782438
142,142,0,0,210,83,-3.31118989,0.974270165,17,1,3,0.4269256,NA,NA,NA,45.12662357,-61.54998205
143,143,0,0,NA,NA,-0.132468835,0.591022193,0,0,1,NA,21.44799995,0.388999999,0.034000002,45.1297532,-61.98608334
144,144,0,0,33,61,-5.279263496,1.519842744,16,2,3,0.516255677,NA,NA,NA,45.1244721,-61.52956466
145,145,0,0,370,119,-1.806866169,1.18201673,19,2,3,0.378879607,NA,NA,NA,45.12355289,-61.55629033
146,146,0,0,124,59,-6.156007767,0.9894014,15,0,3,0.428732604,NA,NA,NA,45.12345136,-61.54828229
147,147,0,0,NA,NA,1,0,1,1,1,NA,21.45800018,0.601999998,0.041999999,45.12687057,-61.98079369
148,148,0,0,NA,NA,0.680368125,1.720467448,1,1,1,NA,21.52799988,0.467000008,0.039999999,45.12530742,-61.98215668
149,149,0,0,119,55,-6.928568363,1.284958124,15,0,3,0.425259203,NA,NA,NA,45.12027347,-61.54613785
150,150,0,0,NA,NA,1,0.347969383,1,1,1,NA,21.57799911,0.686999977,0.041000001,45.1236966,-61.97818001
152,152,0,0,NA,NA,1,NA,1,1,1,NA,21.66200066,1.907999992,0.145999998,45.12016356,-61.97067795
153,153,0,0,NA,NA,1,1.437930465,2,1,1,NA,21.66399956,2.013000011,0.172999993,45.11828152,-61.97160178
154,154,0,0,NA,NA,1,0,2,2,1,NA,21.60000038,2.273999929,0.158000007,45.11634728,-61.96674177
155,155,0,0,NA,NA,1,0.19885914,2,2,2,NA,21.66399956,2.255000114,0.27700001,45.11447331,-61.96855544
157,157,0,0,40,62,-3.288484097,2.177553654,19,12,3,0.456320524,NA,NA,NA,45.10680731,-61.57762307
158,158,0,0,31,61,-5.517723083,2.454668999,18,2,3,0.328577012,NA,NA,NA,45.10505322,-61.53851629
159,159,0,0,NA,NA,1,0,2,1,1,NA,21.6609993,2.431999922,0.26699999,45.10654972,-61.96335934
161,161,0,0,NA,NA,0.525065958,1.548009515,2,1,1,NA,21.67000008,2.428999901,0.172000006,45.10500692,-61.96694638
162,162,0,0,66,103,-0.898590326,1.691121697,23,10,3,0.54329741,NA,NA,NA,45.09908606,-61.54000309
163,163,0,0,NA,NA,-2.15302372,3.343976498,0,-1,0,NA,21.77400017,2.441999912,0.42899999,45.0996195,-61.96348476
164,164,0,0,121,607,-0.864400089,0.985285938,19,1,1,0.055665776,15.17800045,0.512000024,0.079000004,45.09629665,-61.72823398
166,166,0,0,NA,NA,0.906259298,0.213878632,4,2,1,NA,21.81200027,2.39199996,0.316000015,45.09168756,-61.95740125
167,167,0,0,261,272,-2.486318827,3.300198078,2,-2,1,0.001144362,21.82600021,2.354000092,0.377000004,45.08184481,-61.94913082
168,168,0,0,746,717,1,0,7,1,1,0.031080935,21.3939991,3.084000111,0.150000006,45.07918047,-61.93361554
169,169,0,0,456,587,0.659502923,0.414932698,15,4,1,0.001372071,NA,NA,NA,45.07853822,-61.86692485
170,170,0,0,617,630,1,0,7,1,1,0.001742138,21.69599915,2.743999958,0.136000007,45.07890276,-61.93762289
172,172,0,0,30,77,-7.429384232,5.098628998,10,2,1,0.174561858,12.04199982,0.453999996,0.052000001,45.07740329,-61.81714363
173,173,0,0,451,449,-1.018970966,2.596095085,14,3,1,0.001936209,NA,NA,NA,45.07657741,-61.8598489
174,174,0,0,245,363,-2.233574867,0.671382725,4,-2,1,0.00184504,21.48699951,3.267999887,0.181999996,45.07698372,-61.93454575
176,176,0,0,33,91,-4.977475166,2.368991137,12,3,3,0.187379017,12.79699993,0.674000025,0.048,45.07520752,-61.81807825
177,177,0,0,53,173,-1.959441543,2.09274888,15,3,1,0.157865718,13.6260004,0.879999995,0.044,45.07398888,-61.82210522
181,181,0,0,471,602,0.822462559,0.205133632,8,1,1,0.001533392,21.3939991,3.704999924,0.143999994,45.07350202,-61.93283187
182,182,0,0,229,268,-5.31065464,0.143587157,10,-2,1,0.002265108,NA,NA,NA,45.07276184,-61.85636766
183,183,0,0,NA,NA,1,NA,16,4,1,0.000309428,NA,NA,NA,45.07259721,-61.87148864
185,185,0,0,164,199,-4.707046986,2.697880745,11,-1,1,0.001610666,NA,NA,NA,45.07156842,-61.86306092
187,187,0,0,495,673,0.468754083,0.270777166,17,1,1,0.001200973,NA,NA,NA,45.07131333,-61.83772217
191,191,0,0,384,449,-0.085723348,2.020982981,16,0,1,0.001197565,NA,NA,NA,45.07071045,-61.84040213
192,192,0,0,308,387,-2.206211805,0.765763283,7,-1,1,0.002262956,19.74399948,6.508999825,0.175999999,45.07055414,-61.92088193
193,193,0,0,720,710,1,0,11,1,1,0.002271096,18.95000076,6.497000217,0.187999994,45.07049939,-61.91510288
196,196,0,0,398,462,-3.030751705,3.857017517,7,-2,1,0.004304612,18.4659996,6.663000107,0.263000011,45.06859667,-61.91380505
197,197,0,0,427,437,0.01791491,1.813241124,16,3,1,0.001390655,NA,NA,NA,45.06806351,-61.85912898
199,199,0,0,636,357,0.604716361,1.104951739,18,4,3,0.182810619,14.06900024,1.200999975,0.041999999,45.0656524,-61.83872607
200,200,0,0,623,508,0.931246281,0.566177547,18,5,3,0.217321336,14.19400024,1.177999973,0.055,45.06492709,-61.8294046
201,201,0,0,31,77,-5.744636059,1.652167559,12,2,3,0.220412776,12.94699955,0.768999994,0.082000002,45.06481264,-61.8182925
204,204,0,0,216,170,-4.234477997,0.686397612,13,0,1,0.195776209,13.50699997,0.994000018,0.037999999,45.06221449,-61.84146303
206,206,0,0,690,675,1,0,13,1,1,0.001682621,16.77199936,5.994999886,0.289999992,45.06096439,-61.90639228
207,207,0,0,44,119,-2.416479826,3.069453716,15,9,3,0.22866182,12.38000011,0.629000008,0.067000002,45.06007849,-61.81750095
208,208,0,0,696,582,0.089712292,3.221165895,12,0,1,0.035911489,16.86300087,6.349999905,0.282000005,45.05973835,-61.90997196
209,209,0,0,398,254,-3.087052584,0.725677371,14,1,1,0.157343134,13.47099972,0.949999988,0.041000001,45.05880348,-61.84686629
210,210,0,0,219,197,-5.373233795,2.306234598,7,-4,1,0.03613615,16.56200027,5.875,0.333000004,45.05845284,-61.90732922
211,211,0,0,125,77,-8.512724876,0.368119389,9,0,1,0.265584379,12.41300011,0.791999996,0.046,45.05651742,-61.838911
212,212,0,0,29,76,-8.331461906,1.080294013,9,0,2,0.225605875,12.59899998,0.787,0.045000002,45.0533945,-61.84164114
215,215,0,0,596,522,-1.71903801,0.452991813,13,0,1,0.09101551,15.34500027,4.978000164,0.204999998,45.04954298,-61.89816524
216,216,0,0,628,539,-1.61899364,0.684851885,14,0,2,0.103435859,15.02600002,4.368999958,0.215000004,45.0482572,-61.89552323
217,217,0,0,67,129,-0.055393372,1.737816095,18,9,3,0.380080283,12.74800014,0.875,0.082000002,45.04771548,-61.84086689
218,218,0,0,459,390,-2.797394037,0.488129437,13,0,1,0.131728292,14.29399967,3.236000061,0.149000004,45.04791207,-61.89241875
219,219,0,0,289,336,-3.288828373,0.822238266,13,0,2,0.132287845,14.125,2.619999886,0.108999997,45.04725184,-61.8893204
220,220,0,0,470,550,-2.001497984,0.212413549,14,0,2,0.131881252,13.94499969,2.670000076,0.116999999,45.04601772,-61.89201088
221,221,0,0,337,169,-1.886363626,1.536864042,15,3,3,0.179346994,13.97700024,1.531000018,0.061000001,45.04592245,-61.88223523
222,222,0,0,148,76,-5.688635826,1.165826797,12,0,1,0.243818209,12.83500004,1.220999956,0.048,45.04366947,-61.87739055
223,223,0,0,162,116,-6.267918587,0.362979233,11,0,1,0.161787927,13.13799953,1.307000041,0.066,45.04248346,-61.88496863
224,224,0,0,119,69,-7.908193588,0.437489361,10,0,1,0.274808615,12.76000023,1.17900002,0.046999998,45.04204191,-61.87208957
225,225,0,0,199,257,-3.87360692,1.24214077,13,0,1,0.127804786,13.95300007,1.881000042,0.064000003,45.04193126,-61.89297857
226,226,0,0,30,55,-6.145990372,2.281893969,12,3,3,0.395578921,12.63199997,0.964999974,0.097000003,45.041123,-61.843222
227,227,0,0,141,87,-7.842430115,0.138760492,10,0,1,0.205482945,12.34700012,0.968999982,0.052999999,45.03866863,-61.88148773
228,228,0,0,61,131,-0.426493406,2.543794394,18,8,3,0.334102124,13.27799988,1.152999997,0.071000002,45.03812944,-61.85883531
229,229,0,0,46,153,-6.513183117,2.697878122,7,0,1,0.004420383,13.52700043,0.80400002,0.037,44.96614121,-62.08705302
230,230,0,0,118,135,-7.024219513,2.686188221,4,-2,1,0.002532673,13.39400005,1.143000007,0.044,44.96162982,-62.15591047
234,234,0,0,110,451,-0.89386791,3.213572025,13,4,1,0.002120206,13.74300003,0.947000027,0.026000001,44.94570236,-62.1752212
235,235,0,0,597,482,-1.946590781,1.297016263,12,1,3,0.025052361,14.57400036,1.30400002,0.052999999,44.94493396,-62.20007668
236,236,0,0,191,175,-5.411813259,2.163769007,9,-1,2,0.014792068,14.73200035,1.399999976,0.061999999,44.94421304,-62.18722096
238,238,0,0,141,190,-7.418572903,4.047118664,7,-3,1,0.004859501,13.86699963,1.116999984,0.063000001,44.94145919,-62.19879406
240,240,0,0,41,92,-2.776382446,1.33306241,19,8,3,0.292818487,11.35599995,1.177999973,0.066,44.93129039,-62.06321031
241,241,0,0,45,164,-5.765924454,1.567684889,11,3,3,0.069331996,12.43599987,0.742999971,0.064999998,44.93155891,-62.13727851
242,242,0,0,43,180,-8.725289345,1.286154509,8,-3,1,0.056515455,13.04199982,0.898999989,0.097999997,44.93113973,-62.16567167
243,243,0,0,584,576,-2.290910244,0.137503937,11,0,1,0.004029197,14.86999989,1.707999945,0.029999999,44.92465832,-62.27796979
244,244,0,0,87,447,-1.111257434,0.266190708,13,1,1,0.001525993,15.53800011,2.095000029,0.030999999,44.92336719,-62.27310763
246,246,0,0,33,95,-6.007189274,0.676636398,10,4,3,0.239728332,11.55799961,0.842999995,0.082000002,44.92199469,-62.2088211
248,248,0,0,448,364,-1.38759768,2.148035765,12,0,1,0.001813906,17.14299965,1.832000017,0.041000001,44.91399179,-62.33752074
249,249,0,0,379,463,-0.499521345,0.561282277,14,0,1,0.00152211,18.87199974,2.700000048,0.044,44.91265889,-62.32512077
250,250,0,0,457,484,-3.414723396,0.212327793,10,-1,1,0.03091844,15.80300045,1.386000037,0.052999999,44.91244727,-62.3428593
251,251,0,0,363,450,-0.045951225,1.9919734,15,1,1,0.001061194,17.48900032,2.773000002,0.075000003,44.90920903,-62.32782141
252,252,0,0,35,58,-4.506511211,3.163925171,19,26,3,0.476610035,8.972999573,0.550999999,0.093999997,44.90709825,-62.07158385
253,253,0,0,233,191,-6.598674297,0.208115786,10,-2,1,0.084167175,12.64299965,1.123999953,0.046999998,44.90656139,-62.30657117
254,254,0,0,417,476,-3.470244884,0.062380247,11,0,1,0.002944869,14.82499981,1.131000042,0.066,44.90425848,-62.34339594
255,255,0,0,650,629,-1.455809355,0.314495504,14,1,1,0.04525112,15.0710001,1.988000035,0.07,44.90421232,-62.33541638
256,256,0,0,525,523,-1.582359791,0.877612174,14,0,1,0.003054881,15.78800011,2.529000044,0.066,44.90321523,-62.32656127
257,257,0,0,494,414,-2.317309618,1.674658418,13,0,1,0.018916445,14.6239996,1.590999961,0.088,44.90267045,-62.34119739
258,258,0,0,509,565,-2.073505878,0.549812198,14,0,1,0.004847081,14.27000046,2.380000114,0.082000002,44.90041619,-62.33280027
259,259,0,0,100,412,-2.392088175,1.552013755,14,0,1,0.067659765,14.20800018,2.459000111,0.142000005,44.89849207,-62.3270597
260,260,0,0,129,594,-1.190701723,0.317863047,15,1,2,0.015133086,13.73799992,2.266000032,0.101000004,44.89788021,-62.33016986
261,261,0,0,73,279,-2.673226595,2.438042164,9,3,3,0.067849949,12.34799957,0.922999978,0.045000002,44.89331357,-62.41665746
262,262,0,0,42,154,-8.633968353,5.674665928,4,1,3,0.043413945,10.76900005,0.760999978,0.054000001,44.89160409,-62.39096675
263,263,0,0,30,54,-6.302090645,1.835681558,16,3,0,0.515502393,12.28600025,0.681999981,0.088,44.88975501,-62.19419352
264,264,0,0,178,157,-7.398473263,0.262437463,10,-2,1,0.103763215,12.20899963,1.027999997,0.066,44.88753,-62.33826777
265,265,0,0,53,217,-1.762222886,0.636139393,17,6,0,0.206500933,12.37199974,1.055999994,0.067000002,44.88586644,-62.32321815
266,266,0,0,36,69,-3.888958931,4.025569916,16,10,3,0.28744939,10.77099991,0.686999977,0.068999998,44.88291106,-62.30330995
267,267,0,0,75,353,-2.715205669,0.437634319,15,5,3,0.141226411,11.87300014,0.758000016,0.075000003,44.88184619,-62.3361171
268,268,0,0,57,91,-4.137556076,0.223760352,18,6,3,0.480396867,11.04500008,0.552999973,0.079000004,44.88023658,-62.27852562
269,269,0,0,75,367,-2.92825985,3.474280596,8,8,3,0.005199446,11.39799976,1.026000023,0.046999998,44.88007414,-62.48060524
270,270,0,0,29,51,-6.87218523,4.628820419,14,5,3,0.38306281,11.29699993,0.816999972,0.082000002,44.87873629,-62.29050921
271,271,0,0,49,176,-4.992526054,2.720640659,6,6,2,0.005649485,11.90200043,1.157999992,0.039000001,44.87471205,-62.47932414
272,272,0,0,29,66,-7.27087307,7.146867275,12,2,0,0.224061489,11.57400036,0.615999997,0.082999997,44.86953588,-62.33227099
273,273,0,0,32,77,-6.996089935,1.460284352,8,5,3,0.172475278,11.40200043,0.791999996,0.071999997,44.86705791,-62.39654228
274,274,0,0,114,548,-0.913282514,0.421187699,13,3,2,0.005475774,12.21199989,1.018000007,0.035,44.86656963,-62.42401642
275,275,0,0,367,444,-1.071991205,0.315817982,13,1,1,0.001770776,14.47500038,3,0.071999997,44.85788529,-62.4520109
276,276,0,0,321,417,-1.013960719,0.644827485,13,0,1,0.001502982,15.56999969,3.21600008,0.086999997,44.85727634,-62.45644645
277,277,0,0,324,290,-3.799601555,2.614219904,11,0,1,0.03408955,12.79399967,2.075000048,0.052999999,44.85627361,-62.44449569
278,278,0,0,438,492,-1.739285946,0.277266085,9,2,1,0.002978325,14.9119997,1.86500001,0.026000001,44.8548386,-62.54771895
279,279,0,0,251,352,-2.020848751,1.098790526,9,0,2,0.002573867,14.92500019,2.072000027,0.024,44.85451121,-62.54462082
280,280,0,0,371,434,-0.980360031,0.95871532,13,0,2,0.002224213,14.75800037,2.786000013,0.082999997,44.85383166,-62.46090837
281,281,0,0,59,221,-2.909752369,2.225597382,13,2,2,0.124005765,11.83500004,1.070000052,0.063000001,44.85216053,-62.44099173
282,282,0,0,51,137,-8.029528618,0.410661668,8,-1,1,0.113746867,11.4630003,0.927999973,0.064999998,44.84995293,-62.44057016
283,283,0,0,29,69,-10.13979149,4.609451294,8,0,3,0.226419434,11.35000038,0.623000026,0.067000002,44.84969917,-62.39096562
284,284,0,0,394,519,-1.351464987,0.246817186,10,3,1,0.002844145,14.16399956,1.70599997,0.028999999,44.84978699,-62.54510097
285,285,0,0,263,450,-0.356395066,0.59522146,12,3,1,0.000874332,13.96399975,1.791000009,0.024,44.84599026,-62.54114483
286,286,0,0,57,242,-3.454745531,3.639762163,10,5,1,0.001630747,11.97799969,0.852999985,0.046,44.84183108,-62.52567777
288,288,0,0,35,61,-4.897581577,6.643687248,14,3,0,0.364954263,11.29300022,1.031999946,0.093000002,44.83882422,-62.42030739
289,289,0,0,333,416,-0.292535752,0.906699717,11,2,1,0.00083864,16.2140007,2.299999952,0.029999999,44.83867315,-62.60674252
290,290,0,0,140,182,-8.276819229,0.687960684,2,-2,1,0.059907168,12.07999992,1.223999977,0.039000001,44.83271848,-62.6160816
291,291,0,0,408,208,-1.079219699,1.32438457,17,6,3,0.16241692,11.35000038,1.034000039,0.059,44.83172667,-62.45048772
292,292,0,0,144,135,-7.195467949,3.41445446,3,0,1,0.071405888,12.33399963,1.177999973,0.034000002,44.83178069,-62.61830174
293,293,0,0,NA,NA,0.210889399,NA,17,10,0,0.184835136,11.29300022,0.70599997,0.037999999,44.82162975,-62.51698934
295,295,0,0,31,54,-5.972332478,2.325051069,13,11,3,0.520447969,10.46500015,0.637000024,0.064000003,44.81150604,-62.50733605
298,298,0,0,306,429,-1.820211291,0.664407969,13,0,1,0.001455621,14.13500023,1.167999983,0.057999998,44.80697161,-62.64369317
