source,subproject,id,site,subsite,year,month,day,SamplingType_1,SamplingType_2,SamplingType_3,latitude,longitude,seagrass,bathy_m,subObs,subObs_JT,SubObs_Jtcat,percent.cover,percent.cover.cat,percent.cover.notes,,
Monitoring,,51,Mason's Island,,2020,11,7,Video transect,,,44.39016,-64.27873,1,,Sand & Mud,soft,1,,,MonMasT2Perstart_11_2020,,"There is no T2 perpendicular in the data, just perpendicular 3"
Monitoring,,52,Mason's Island,,2020,11,7,Video transect,,,44.39017,-64.27928,1,,Sand & Mud,soft,1,,,MonMasT2Perend_11_2020,,"There is no T2 perpendicular in the data, just perpendicular 3"
Monitoring,,53,Mason's Island,,2020,5,23,Video transect,,,44.39042,-64.27911,1,2,Sand & Mud,soft,1,73,4,MonMasT1Parstart_5_2020,,
Monitoring,,54,Mason's Island,,2020,5,23,Video transect,,,44.38995,-64.27899,1,2,Sand & Mud,soft,1,62,4,MonMasT1Parend_5_2020,,
Monitoring,,55,Mason's Island,,2020,5,23,Video transect,,,44.3904,-64.27913,1,,Sand & Mud,soft,1,,,MonMasT2Parend_5_2020,,No T2 parallel
Monitoring,,56,Mason's Island,,2020,5,23,Video transect,,,44.39019,-64.27872,1,,Sand & Mud,soft,1,,,MonMasT1Perend_5_2020,,No T1 Per (just perpendicular 3)
Monitoring,,57,Mason's Island,,2020,5,23,Video transect,,,44.39022,-64.27926,1,,Sand & Mud,soft,1,,,MonMasT2Perend_5_2020,,No T2 Per (just perpendicular 3)
Monitoring,,58,Mason's Island,,2020,7,10,Video transect,,,44.39049,-64.27912,1,2,Sand & Mud,soft,1,84,5,MonMasT1Parstart_7_2020,,
Monitoring,,59,Mason's Island,,2020,7,10,Video transect,,,44.38997,-64.27895,1,,Sand & Mud,soft,1,99,5,MonMasT1Parend_7_2020,,
Monitoring,,60,Mason's Island,,2020,7,10,Video transect,,,44.39046,-64.27914,1,2,Sand & Mud,soft,1,,,MonMasT2Parend_7_2020,,no t2 parallel
Monitoring,,61,Mason's Island,,2020,7,10,Video transect,,,44.39016,-64.27934,1,,Sand & Mud,soft,1,,,MonMasT1Perstart_7_2020,,no t1 perp
Monitoring,,62,Mason's Island,,2020,7,10,Video transect,,,44.3902,-64.27866,1,,Sand & Mud,soft,1,,,MonMasT1Perend_7_2020,,no t1 perp
Monitoring,,63,Mason's Island,,2020,7,10,Video transect,,,44.39015,-64.27938,1,,Sand & Mud,soft,1,,,MonMasT2Perend_7_2020,,no t2 perp
Monitoring,,64,Port Joli,,2020,8,8,Video transect,,,43.87523,-64.90075,1,1.4,Mud,soft,1,88,5,MonPJT1Start_8_2020,,
Monitoring,,65,Port Joli,,2020,8,8,Video transect,,,43.87525,-64.90075,1,1.4,Mud,soft,1,,,MonPJT2Start_8_2020,,no t2
Monitoring,,66,Port Joli,,2020,11,8,Video transect,,,43.8755,-64.90133,1,1.4,Mud,soft,1,10,2,MonPJT1Start_11_2020,,
Monitoring,,67,Port Joli,,2020,11,8,Video transect,,,43.87523,-64.90081,1,1.4,Mud,soft,1,22,2,MonPJT1End_11_2020,,
Monitoring,,68,Port Joli,,2020,11,8,Video transect,,,43.87522,-64.90081,1,1.4,Mud,soft,1,,,MonPJT2Start_11_2020,,no t2
