species,longitude,latitude
eelgrass,-62.44432,44.85636
eelgrass,-62.44075,44.84981
eelgrass,-62.44096,44.85203
eelgrass,-62.4241,44.86642
eelgrass,-62.41688,44.8932
eelgrass,-62.39661,44.86704
eelgrass,-62.39096,44.84974
eelgrass,-62.39097,44.89158
eelgrass,-62.34421,44.90513
eelgrass,-62.34131,44.90279
eelgrass,-62.33811,44.88764
eelgrass,-62.30649,44.90646
eelgrass,-62.30322,44.8828
eelgrass,-62.29048,44.87865
eelgrass,-62.2801,44.92319
eelgrass,-62.27802,44.92453
eelgrass,-62.27832,44.88036
eelgrass,-62.273,44.92327
eelgrass,-62.23772,44.95385
eelgrass,-62.20904,44.92202
eelgrass,-62.19989,44.94483
eelgrass,-62.19889,44.94139
eelgrass,-62.18715,44.94413
eelgrass,-62.17503,44.94564
eelgrass,-62.17238,44.95137
eelgrass,-62.15591,44.96153
eelgrass,-62.13731,44.93166
eelgrass,-62.0869,44.9662
eelgrass,-62.0783,44.95543
eelgrass,-62.0718,44.90701
eelgrass,-62.06304,44.93131
eelgrass,-62.33633,44.88172
eelgrass,-62.29768,44.91574
eelgrass,-62.17069,44.94589
eelgrass,-62.88881,44.68967
eelgrass,-62.88968,44.69317
eelgrass,-62.81704,44.70499
eelgrass,-62.81825,44.70742
eelgrass,-62.72647,44.75161
eelgrass,-62.66044,44.77438
eelgrass,-62.54951,44.80173
eelgrass,-62.49058,44.84299
eelgrass,-62.73589,44.75686
eelgrass,-62.72913,44.75621
eelgrass,-62.05303,44.94306
eelgrass,-62.16584,44.93103
eelgrass,-62.72895,44.78597
eelgrass,-63.01752,44.73975
eelgrass,-63.0212,44.73762
eelgrass,-62.79077,44.73926
eelgrass,-61.55302,45.15555
eelgrass,-61.5299,45.15948
eelgrass,-61.52827,45.15745
eelgrass,-61.52535,45.15373
eelgrass,-61.52397,45.16295
eelgrass,-61.52426,45.15092
eelgrass,-61.52373,45.14754
eelgrass,-61.5147,45.16112
eelgrass,-61.50335,45.15088
eelgrass,-61.54985,45.14946
eelgrass,-61.49943,45.15948
eelgrass,-61.49851,45.15045
eelgrass,-61.49677,45.15735
eelgrass,-61.49222,45.14757
eelgrass,-61.49142,45.15039
eelgrass,-61.48295,45.1499
eelgrass,-61.54632,45.16202
eelgrass,-61.54601,45.15274
eelgrass,-61.54614,45.15707
eelgrass,-61.53645,45.15825
eelgrass,-61.5351,45.16184
eelgrass,-61.53232,45.16229
eelgrass,-61.53053,45.14703
eelgrass,-61.70152,45.16905
eelgrass,-61.77035,45.23308
eelgrass,-61.70536,45.17107
eelgrass,-61.69862,45.16719
eelgrass,-61.67729,45.15021
eelgrass,-61.67317,45.14851
eelgrass,-61.67203,45.15937
eelgrass,-61.66685,45.14249
eelgrass,-61.65868,45.13807
eelgrass,-61.75727,45.22821
eelgrass,-61.65853,45.13612
eelgrass,-61.6539,45.13161
eelgrass,-61.733,45.2151
eelgrass,-61.72622,45.2176
eelgrass,-61.72265,45.21243
eelgrass,-61.71935,45.20576
eelgrass,-61.71768,45.20041
eelgrass,-61.71609,45.18098
eelgrass,-61.70988,45.17449
eelgrass,-61.6129,45.1389
eelgrass,-61.55357,45.13652
eelgrass,-61.55033,45.11313
eelgrass,-61.54982,45.12663
eelgrass,-61.54827,45.12335
eelgrass,-61.54687,45.1367
eelgrass,-61.5462,45.12042
eelgrass,-61.53983,45.09921
eelgrass,-61.53843,45.10492
eelgrass,-61.5351,45.13258
eelgrass,-61.60441,45.12815
eelgrass,-61.52974,45.12462
eelgrass,-61.60343,45.14002
eelgrass,-61.5983,45.13772
eelgrass,-61.58293,45.14042
eelgrass,-61.57756,45.1069
eelgrass,-61.56339,45.13152
eelgrass,-61.55632,45.12349
eelgrass,-61.67038,45.19845
eelgrass,-61.65222,45.1693
eelgrass,-61.64709,45.17162
eelgrass,-61.64481,45.16416
eelgrass,-61.64468,45.17087
eelgrass,-61.64469,45.16855
eelgrass,-61.64437,45.15904
eelgrass,-61.64253,45.16732
eelgrass,-61.66689,45.19559
eelgrass,-61.63148,45.14927
eelgrass,-61.62718,45.15219
eelgrass,-61.6239,45.14514
eelgrass,-61.62274,45.15161
eelgrass,-61.60464,45.14628
eelgrass,-61.66462,45.19042
eelgrass,-61.66013,45.19082
eelgrass,-61.65755,45.1618
eelgrass,-61.65687,45.1825
eelgrass,-61.65505,45.17907
eelgrass,-61.65404,45.17594
eelgrass,-61.6529,45.18027
eelgrass,-61.45684,45.17468
eelgrass,-61.45115,45.17009
eelgrass,-61.46631,45.14729
eelgrass,-61.44789,45.17434
eelgrass,-61.44743,45.1706
eelgrass,-61.44755,45.16312
eelgrass,-61.44674,45.15971
eelgrass,-61.4464,45.16696
eelgrass,-61.44331,45.16068
eelgrass,-61.43687,45.17149
eelgrass,-61.4227,45.16088
eelgrass,-61.45802,45.15138
eelgrass,-61.41778,45.16119
eelgrass,-61.45545,45.15841
eelgrass,-61.45124,45.17719
eelgrass,-61.45079,45.16702
eelgrass,-61.72868,45.09238
eelgrass,-61.72841,45.09628
eelgrass,-61.72774,45.10316
eelgrass,-61.6875,45.11764
eelgrass,-61.67761,45.1107
eelgrass,-61.58517,45.14603
eelgrass,-61.57166,45.15554
eelgrass,-61.57049,45.15032
eelgrass,-61.57043,45.16137
eelgrass,-61.56917,45.16295
eelgrass,-61.5656,45.14741
eelgrass,-61.56198,45.14708
eelgrass,-61.57758,45.1506
eelgrass,-61.56133,45.14915
eelgrass,-61.57715,45.15958
eelgrass,-61.57362,45.14949
eelgrass,-61.57364,45.15878
eelgrass,-61.57309,45.15199
eelgrass,-61.8715,45.07271
eelgrass,-61.85934,45.06822
eelgrass,-61.85645,45.07266
eelgrass,-61.85033,45.07132
eelgrass,-61.84625,45.0734
eelgrass,-61.84616,45.06912
eelgrass,-61.86692,45.07854
eelgrass,-61.84235,45.07289
eelgrass,-61.84049,45.0708
eelgrass,-61.83771,45.07137
eelgrass,-61.86301,45.07164
eelgrass,-61.85968,45.07648
eelgrass,-61.82838,45.07627
eelgrass,-61.88202,45.04577
eelgrass,-61.84154,45.0622
eelgrass,-61.84103,45.04784
eelgrass,-61.839,45.05637
eelgrass,-61.83853,45.06552
eelgrass,-61.82959,45.06496
eelgrass,-61.82342,45.07754
eelgrass,-61.82219,45.07389
eelgrass,-61.82177,45.06157
eelgrass,-61.81814,45.06495
eelgrass,-61.81806,45.07505
eelgrass,-61.88132,45.03876
eelgrass,-61.81705,45.07754
eelgrass,-61.81758,45.05996
eelgrass,-61.87759,45.04379
eelgrass,-61.8719,45.04198
eelgrass,-61.85886,45.03816
eelgrass,-61.84693,45.05874
eelgrass,-61.84331,45.04107
eelgrass,-61.84164,45.05344
eelgrass,-61.72327,45.09625
eelgrass,-61.5889,45.14833
eelgrass,-61.63204,45.15529
eelgrass,-61.63472,45.15528
eelgrass,-61.6285,45.15576
eelgrass,-61.64448,45.16108
eelgrass,-61.64687,45.16252
eelgrass,-61.64766,45.16751
eelgrass,-61.64541,45.16592
eelgrass,-61.64816,45.16498
eelgrass,-61.64084,45.1654
eelgrass,-61.63212,45.15752
eelgrass,-61.64185,45.15581
eelgrass,-61.64119,45.15781
eelgrass,-61.63617,45.15876
eelgrass,-61.63766,45.15577
eelgrass,-61.64179,45.15969
eelgrass,-64.60642,44.14725
eelgrass,-64.60319,44.14755
eelgrass,-61.02112,45.98445
eelgrass,-61.02393,45.98345
eelgrass,-61.02579,45.98184
eelgrass,-64.60924,44.14694
eelgrass,-64.61371,44.15095
eelgrass,-64.60906,44.14878
eelgrass,-64.2142,44.37277
eelgrass,-63.42197,44.65716
eelgrass,-63.42543,44.65558
eelgrass,-63.42921,44.65472
eelgrass,-63.43043,44.65668
eelgrass,-63.43194,44.65883
eelgrass,-63.43502,44.66123
eelgrass,-63.43735,44.66245
eelgrass,-63.44028,44.66293
eelgrass,-63.44423,44.66325
eelgrass,-63.44756,44.66474
eelgrass,-63.44971,44.66686
eelgrass,-63.45359,44.66797
eelgrass,-63.4536,44.6699
eelgrass,-63.45112,44.6713
eelgrass,-63.44633,44.67051
eelgrass,-63.44358,44.6695
eelgrass,-63.44322,44.66743
eelgrass,-63.44021,44.66607
eelgrass,-63.43743,44.66519
eelgrass,-63.43445,44.66441
eelgrass,-62.84252,44.71013
eelgrass,-62.84029,44.70826
eelgrass,-62.84468,44.70688
eelgrass,-62.84415,44.70412
eelgrass,-62.84331,44.70137
eelgrass,-62.84529,44.69986
eelgrass,-62.84231,44.6989
eelgrass,-62.8409,44.69673
eelgrass,-62.84218,44.69476
eelgrass,-62.83906,44.69847
eelgrass,-62.83983,44.70215
eelgrass,-63.00554,44.72323
eelgrass,-63.00809,44.72554
eelgrass,-63.01137,44.72731
eelgrass,-63.01437,44.7292
eelgrass,-63.01652,44.7308
eelgrass,-63.01805,44.73238
eelgrass,-63.01989,44.73046
eelgrass,-63.01779,44.72765
eelgrass,-63.01482,44.72702
eelgrass,-63.01135,44.72539
eelgrass,-63.0094,44.72361
eelgrass,-64.61576,44.14955
eelgrass,-64.59747,44.14269
eelgrass,-64.60243,44.14582
eelgrass,-64.5945,44.15421
eelgrass,-64.5988,44.15422
eelgrass,-64.60146,44.15185
eelgrass,-64.61096,44.15132
eelgrass,-64.61293,44.15272
eelgrass,-62.84032,44.70608
eelgrass,-62.83897,44.70398
eelgrass,-62.83497,44.7029
eelgrass,-62.83241,44.70418
eelgrass,-62.8289,44.70675
eelgrass,-62.82638,44.70842
eelgrass,-62.82384,44.71026
eelgrass,-62.8167,44.71002
eelgrass,-62.81433,44.71083
eelgrass,-62.81358,44.71335
eelgrass,-62.81312,44.71601
eelgrass,-62.8147,44.71795
eelgrass,-62.82092,44.70948
eelgrass,-62.82819,44.71022
eelgrass,-62.83191,44.71036
eelgrass,-62.83407,44.70757
eelgrass,-62.83734,44.70811
eelgrass,-64.60542,44.1491
eelgrass,-64.59562,44.136
eelgrass,-64.59761,44.13442
eelgrass,-64.59304,44.1332
eelgrass,-64.25586,44.40894
eelgrass,-64.25257,44.40941
eelgrass,-64.2522,44.41167
eelgrass,-64.25565,44.41177
eelgrass,-64.2583,44.4117
eelgrass,-64.26049,44.40967
eelgrass,-64.26377,44.40736
eelgrass,-64.26924,44.40925
eelgrass,-64.27215,44.40978
eelgrass,-64.27424,44.40815
eelgrass,-64.2771,44.40699
eelgrass,-64.53227,44.15099
eelgrass,-64.53055,44.14863
eelgrass,-64.52873,44.14622
eelgrass,-60.61491,46.29559
eelgrass,-60.61404,46.29372
eelgrass,-60.61334,46.29111
eelgrass,-60.61317,46.28843
eelgrass,-60.61233,46.28613
eelgrass,-60.61207,46.28337
eelgrass,-60.61184,46.28127
eelgrass,-60.61092,46.27849
eelgrass,-60.60988,46.27539
eelgrass,-60.608,46.26845
eelgrass,-60.60828,46.2664
eelgrass,-60.61208,46.26489
eelgrass,-60.61481,46.26472
eelgrass,-60.6134,46.26248
eelgrass,-60.6071,46.26122
eelgrass,-60.60308,46.25991
eelgrass,-60.5986,46.25898
eelgrass,-60.59529,46.25804
eelgrass,-60.59138,46.25662
eelgrass,-60.59202,46.25403
eelgrass,-60.59496,46.25283
eelgrass,-60.59793,46.25119
eelgrass,-60.60052,46.24936
eelgrass,-60.60195,46.2475
eelgrass,-60.59784,46.24821
eelgrass,-60.5956,46.24919
eelgrass,-60.60128,46.2688
eelgrass,-60.60297,46.27105
eelgrass,-60.60552,46.27372
eelgrass,-64.60854,44.15061
eelgrass,-64.60291,44.15493
eelgrass,-64.59913,44.15667
eelgrass,-64.59697,44.15852
eelgrass,-64.59454,44.15966
eelgrass,-64.5909,44.1586
eelgrass,-64.61192,44.14925
eelgrass,-64.61483,44.15426
eelgrass,-64.53499,44.15563
eelgrass,-64.53256,44.15725
eelgrass,-64.53265,44.15381
eelgrass,-64.5295,44.15182
eelgrass,-64.52624,44.14473
eelgrass,-64.52452,44.13965
eelgrass,-64.52508,44.14231
eelgrass,-64.5261,44.14699
eelgrass,-64.52702,44.1499
eelgrass,-64.60583,44.14481
eelgrass,-64.59949,44.14427
eelgrass,-64.89714,43.8678
eelgrass,-64.89925,43.86884
eelgrass,-64.90217,43.86892
eelgrass,-64.90372,43.87037
eelgrass,-64.90678,43.87208
eelgrass,-64.90928,43.873
eelgrass,-64.91086,43.87479
eelgrass,-64.90633,43.87452
eelgrass,-64.90279,43.8737
eelgrass,-61.02802,45.97992
eelgrass,-61.03071,45.97869
eelgrass,-61.03383,45.97787
eelgrass,-61.01852,45.98353
eelgrass,-61.01487,45.98425
eelgrass,-61.00898,45.98694
eelgrass,-61.01133,45.98559
eelgrass,-64.21715,44.3732
eelgrass,-64.20955,44.37426
eelgrass,-64.21319,44.37465
eelgrass,-64.21018,44.37616
eelgrass,-64.20681,44.37588
eelgrass,-64.2035,44.37383
eelgrass,-64.207,44.37386
eelgrass,-64.2195,44.37388
eelgrass,-63.72603,44.45893
eelgrass,-63.72874,44.45921
eelgrass,-63.73193,44.45952
eelgrass,-63.7356,44.45837
eelgrass,-63.73844,44.45698
